Cell_ID,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,SteadyStateAPs,FrequencyPassAbove,FrequencyPassBelow,RampFirstSpike,ClusterPath,Cluster,WasNoise
NMLCL001468,55.1369433855722,47.8632320007839,2.8762919188057325,-3.446039847791797,3.1209513463524607,0.9511881321946009,1.0199263227041622,3.32131102247409,2.833387784722918,3.339908851799196,-3.1257594104423263,-2.5842765605692866,-4.621982847452099,3.234510651363587,3.5731751504396243,4.581036765011938,4.191079150559594,4.6438963090634005,0.0,0.0,2.9722491532952726,3.6878724022073457,0.0,0.0,3.913153834300101,3.0831422984688235,0.0,0.0,-41.6666666666667,-41.6666666666667,-0.16810611869221068,-72.44217271933121,6.432974503300476,4.879786936625986,2.3140350736645487,4.922010231387653,1.7236893861266205,6.517333968241139,0.0,4.216192878969989,5.799909457150003,8.466038247194703,/,-1,False
NMLCL001469,68.90588333422241,67.20101400206451,1.5944474246421578,-1.9016679814129736,3.0223944123846103,0.9056965714071736,0.9056965714071736,3.996802888650483e-14,2.3479048947967263,2.384631680788794,-3.82645955870702,-3.7736211329845735,-2.5737253935138122,3.2912447846980726,3.3437156152784504,2.630724092193918,4.066191396527135,4.4160027698806426,0.0,0.0,2.8320326414187744,3.541035024070552,0.0,0.0,3.322208246633209,2.8803429383656045,0.0,0.0,-57.1428571428571,-57.1428571428571,-0.3502013325564172,-96.5371994552993,6.038472087746854,4.937077251267781,1.8107045432229056,3.788431364058978,1.9104994542696931,5.723742728292718,0.0,4.216192878969989,5.799909457150003,8.464180168237174,/,-1,False
NMLCL001470,78.4396533335707,70.2565666680051,2.9878136342136736,-3.2197288970913016,3.2142697804327685,1.1149122692452167,1.1073324241973126,-1.2773647497281821,3.0868277567166436,3.050437902051633,-3.2444757856991715,-3.2203658624652376,-1.9032504696572508,3.788549296043353,3.898210030676133,3.343027451515998,3.3751850453694194,4.640568097691814,0.0,0.0,2.0382935174551298,3.7606447184658163,0.0,0.0,4.307838608113968,3.569327698005829,0.0,0.0,0.0,-7.692307692307691,-0.3346783791285328,-9.51008625833483e-08,2.35268581726729,4.2812954330213655,5.113128917318527,-2.050567266125678,4.44317291452075,5.583578567263022,0.0,4.741256201330198,5.412243926033066,8.446045064179716,/,-1,False
NMLCL001472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,0.0,-1.1947054951603389,-100.0,8.435151988079907,8.435151988079907,0.0,0.0,0.0,7.060420676585532,0.0,4.216192878969989,5.799909457150003,9.351312451405263,/,-1,False
NMLCL001474,81.1750847068287,78.1352961398646,2.07936298327709,-2.2641104917850847,2.418273061553778,1.0031796430318176,1.0031796430318176,-3.419486915845424e-14,2.1244474115743937,2.154265619422294,-4.33452925136858,-4.284939906020977,-2.508609944711897,4.007558387178465,4.061766750632897,2.6436125324906805,3.9679730014808903,5.173077090286,0.0,0.0,2.7975431084912743,3.830479148093049,0.0,0.0,4.887108596900869,3.4269930271514113,0.0,0.0,-28.571428571428598,-28.571428571428598,-0.04653848047864567,-36.1841781214872,8.22578266444638,5.105745925810368,3.2139427834569907,3.4266843513206355,5.130423458877684,6.048919374195018,0.0,4.216192878969989,5.799909457150003,8.451651506755685,/,-1,False
NMLCL001475,84.38302923259391,79.9269799978231,2.42129499917273,-2.577132916419356,1.8798658594468052,0.9149619494336684,0.8677519561040115,-2.92917530646786,3.06558266792975,3.732939549123479,-3.1664959961250942,-2.6460830046331574,-4.590388673843844,2.13911005757665,3.893256026385511,7.129423694974247,5.0702279505214864,5.231246800622278,0.0,0.0,3.7307337827938682,3.991215553972655,0.0,0.0,4.8551661859130535,2.6029145897811388,0.0,0.0,-25.0,-25.0,-0.11457178359691952,-92.35857625834021,5.477142591683087,5.9425158342109885,1.6072619331875664,7.4084021345054625,2.0678439235436654,5.871573946231322,0.0,5.040034862317026,5.799909457150003,8.501431293134829,/,-1,False
NMLCL001476,56.512751485908296,52.6372473329463,2.2949235915062296,-2.8208165917637094,2.8162495211160987,0.5387139149757594,0.565230311246034,2.7635093224998526,1.3960991863381509,1.4352257415083136,-4.929868857945738,-4.835470773087736,-3.0861477117359195,3.9549213601865727,3.9779279575430233,1.8661795729166533,2.390975142927245,3.2871296662730227,0.0,0.0,2.56644774969561,3.111740054377566,0.0,0.0,2.898905147518283,2.3533912213604955,0.0,0.0,0.0,2.7027027027027,0.14983420177547865,-37.751889712717,3.5459899123533907,3.2377556166787564,4.151860743147367,3.667484658099923,6.0859617658671885,6.838410058074155,0.0,5.69121172825428,5.799909457150003,8.109886136490102,/,-1,False
NMLCL001477,79.7726286672937,77.2830500015093,1.9069415686626712,-2.1024262044050404,2.9645887248611698,1.0031796430318176,0.9946999461234532,-1.4036708450946656,2.6380982555650383,2.604618372479392,-3.69190503159516,-3.722569338590583,2.1226647171574085,3.6365420813582503,3.7533792545186415,3.4114618623658766,3.794359988944168,4.576554386115019,0.0,0.0,2.4660718669792194,3.5275978397083936,0.0,0.0,4.016837202281031,3.23004358563987,0.0,0.0,-66.6666666666667,-55.5555555555556,-0.299023006790512,-91.185936297386,6.204229339135328,5.446617973805901,1.9352559058528904,2.8145539756541864,4.693377884599565,6.159885381184263,0.0,4.216192878969989,5.63244817897953,8.456483170301512,/,-1,False
NMLCL001478,78.6841599998927,74.5900999990822,2.3443910333895177,-2.5634644212078794,2.4337326807748396,0.9946999461234532,0.9861477285640246,-1.41381257582457,3.6867192851280217,3.664553569395678,-2.6593347182279694,-2.6478342100460823,-1.3431471914491626,3.7925553559116882,3.82970182942048,2.2940554413324863,4.548196844844662,5.903718028104029,0.0,0.0,3.4000807351110556,4.088055059702533,0.0,0.0,5.611720368087845,3.5850970432878437,0.0,0.0,0.0,-25.0,-0.3095039192917705,-99.3805463556464,17.35681516268184,5.581867225026243,4.679918047833082,0.7656155775191389,5.022691113123374,6.25942322434859,0.0,4.216192878969989,5.799909457150003,8.473633467482426,/,-1,False
NMLCL001479,78.7914779483462,75.7564433328727,2.0779936414868305,-2.289451128117164,2.111657257348494,1.0031796430318176,1.0115880388683531,1.4036708450946491,3.4531999883449167,3.4917919315523065,-2.8789396455193548,-2.8046259677602388,-2.9163042823093432,3.7562274851575457,3.7188831415709735,-2.2661553210793484,4.982775099377119,6.045179988234563,0.0,0.0,3.838937206830829,4.604821158084938,0.0,0.0,5.582343985996202,3.9869519360032712,0.0,0.0,0.0,0.0,0.0,-9.80565522997809e-06,12.149813376479008,5.400922098344182,3.614592837625206,-3.004543864509734,4.7447404360784144,6.790806441244782,0.0,4.216192878969989,5.799909457150003,8.466672986560058,/,-1,False
NMLCL001481,62.958913333817904,55.6172280000499,2.8850718785502587,-3.326854997205108,4.983389128597802,0.9241422677377494,0.9946999461234532,3.3641917487597337,2.228863846052493,1.9104994542696931,-3.8526707846569743,-3.905207527012226,2.6166476624195094,3.093730299271348,-2.003158745616921,-5.708342572265329,3.603133458464267,4.007253513876971,0.0,0.0,1.8471937346149725,3.068798347942118,0.0,0.0,8.435151988079907,2.6665009821489183,0.0,0.0,-100.0,-100.0,-1.1947054951603389,-100.0,8.435151988079907,2.9591992401515217,0.0,0.0,1.493775065089192,4.957530825296886,0.0,4.216192878969989,5.799909457150003,8.461535068334717,/,-1,False
NMLCL001482,39.4529799999304,35.74858769223211,2.254410946038302,-3.1188281828485094,0.2371169539865107,0.5520600004450339,0.591061712740158,3.11736275938371,1.390382580451461,1.4242020612063568,-4.572987960679166,-4.440188402831598,-3.3989819389633382,3.575077988264681,3.510930078871102,-2.7548797506847342,1.9732409023836357,2.9532106923249666,0.0,0.0,2.2772491309988347,8.435151988079907,0.0,0.0,2.5458995508401165,8.435151988079907,0.0,0.0,0.0,0.0,0.0,-9.90904559192618,4.285405581875353,2.5977857548823122,5.270772273045104,-2.24212266355283,0.7660688243043056,6.304705208969557,0.0,4.216192878969989,5.799909457150003,9.351312451405263,/,-1,False
NMLCL001483,54.008098952266295,53.1539845710489,1.0874404360944017,-1.5350240421906574,1.513322828372183,0.7767152131210331,0.7872494493151819,1.707448542559853,2.1244474115744265,2.2088346082327903,-3.987721699537519,-3.8974842935491623,-3.0560453651330177,3.829157905031879,3.8825556822050786,2.632607401542727,4.34121893953056,5.187843376558298,0.0,0.0,3.3520751481137903,4.053879537834589,0.0,0.0,5.540714360070171,3.828478576712936,0.0,0.0,-66.6666666666667,-66.6666666666667,-1.1947054951603389,-88.8423155059928,6.223369103708028,6.612100414118494,1.9217671458778576,6.527199782902862,3.1791303340432004,6.402443688544476,0.0,4.216192878969989,5.799909457150003,8.454057993490554,/,-1,False
NMLCL001484,44.129827636460895,44.864760001666,-0.9903751358005196,1.5758180200274776,-1.200926291232557,0.6285992193778172,0.6528635827448365,2.574051531400956,1.8793474625814288,1.8828571069044755,-4.141694422471346,-4.156253414135514,1.4887153087525542,3.8833929877844615,3.9069768643073406,1.8886435728866977,4.102623470624024,4.6167276158546775,0.0,0.0,2.930121417670981,3.5987335076724247,0.0,0.0,3.804410690260623,3.062356613951091,0.0,0.0,5.26315789473684,10.5263157894737,0.3212804550018315,-9.59676897061682,0.3249803486965978,3.82345956788813,4.974001963819614,3.628013132737296,5.556401406988796,6.60511759694336,0.0,4.216192878969989,5.799909457150003,8.455934958028505,/,-1,False
