,Model_ID,Model_Name,Filename
122,NMLCL000201,Layer 2/3 Burst Irregular Bipolar Cell (5),bIR215_L23_BP_f03ecc7752_0_0
123,NMLCL000202,Layer 2/3 Burst Irregular Bitufted Cell (1),bIR215_L23_BTC_a8491dac1c_0_0
124,NMLCL000203,Layer 2/3 Burst Irregular Bitufted Cell (2),bIR215_L23_BTC_b7a569ac13_0_0
125,NMLCL000204,Layer 2/3 Burst Irregular Bitufted Cell (3),bIR215_L23_BTC_e02ed2d076_0_0
126,NMLCL000205,Layer 2/3 Burst Irregular Bitufted Cell (4),bIR215_L23_BTC_e051419629_0_0
127,NMLCL000206,Layer 2/3 Burst Irregular Bitufted Cell (5),bIR215_L23_BTC_fcf6c1f59c_0_0
128,NMLCL000207,Layer 2/3 Burst Irregular Double Bouquet Cell (1),bIR215_L23_DBC_4d1e2d44e8_0_0
129,NMLCL000208,Layer 2/3 Burst Irregular Double Bouquet Cell (2),bIR215_L23_DBC_56fd12fad5_0_0
130,NMLCL000209,Layer 2/3 Burst Irregular Double Bouquet Cell (3),bIR215_L23_DBC_8485afb4d4_0_0
131,NMLCL000210,Layer 2/3 Burst Irregular Double Bouquet Cell (4),bIR215_L23_DBC_b0d0b3615e_0_0
132,NMLCL000211,Layer 2/3 Burst Irregular Double Bouquet Cell (5),bIR215_L23_DBC_b0e6d189ec_0_0
133,NMLCL000212,Layer 4 Burst Irregular Bipolar Cell (1),bIR215_L4_BP_2446cadf29_0_0
134,NMLCL000213,Layer 4 Burst Irregular Bipolar Cell (2),bIR215_L4_BP_7d938499d8_0_0
135,NMLCL000214,Layer 4 Burst Irregular Bipolar Cell (3),bIR215_L4_BP_7f9877b937_0_0
136,NMLCL000215,Layer 4 Burst Irregular Bipolar Cell (4),bIR215_L4_BP_a8b6abe396_0_0
137,NMLCL000216,Layer 4 Burst Irregular Bipolar Cell (5),bIR215_L4_BP_d04c4872bd_0_0
138,NMLCL000217,Layer 4 Burst Irregular Bitufted Cell (1),bIR215_L4_BTC_22df25e508_0_0
139,NMLCL000218,Layer 4 Burst Irregular Bitufted Cell (2),bIR215_L4_BTC_4e26f3a393_0_0
140,NMLCL000219,Layer 4 Burst Irregular Bitufted Cell (3),bIR215_L4_BTC_7ea9933f77_0_0
141,NMLCL000220,Layer 4 Burst Irregular Bitufted Cell (4),bIR215_L4_BTC_d58cc3840a_0_0
142,NMLCL000221,Layer 4 Burst Irregular Bitufted Cell (5),bIR215_L4_BTC_d656c19ac5_0_0
143,NMLCL000222,Layer 4 Burst Irregular Double Bouquet Cell (1),bIR215_L4_DBC_01d21bd888_0_0
144,NMLCL000223,Layer 4 Burst Irregular Double Bouquet Cell (2),bIR215_L4_DBC_5a91010028_0_0
145,NMLCL000224,Layer 4 Burst Irregular Double Bouquet Cell (3),bIR215_L4_DBC_78a99c338d_0_0
146,NMLCL000225,Layer 4 Burst Irregular Double Bouquet Cell (4),bIR215_L4_DBC_e57b56d14c_0_0
147,NMLCL000226,Layer 4 Burst Irregular Double Bouquet Cell (5),bIR215_L4_DBC_f339de2544_0_0
148,NMLCL000227,Layer 5 Burst Irregular Bipolar Cell (1),bIR215_L5_BP_03b3d4a19f_0_0
149,NMLCL000228,Layer 5 Burst Irregular Bipolar Cell (2),bIR215_L5_BP_15aa299646_0_0
150,NMLCL000229,Layer 5 Burst Irregular Bipolar Cell (3),bIR215_L5_BP_6687408de7_0_0
151,NMLCL000230,Layer 5 Burst Irregular Bipolar Cell (4),bIR215_L5_BP_706acf4049_0_0
152,NMLCL000231,Layer 5 Burst Irregular Bipolar Cell (5),bIR215_L5_BP_f920d1af2c_0_0
153,NMLCL000232,Layer 5 Burst Irregular Double Bouquet Cell (1),bIR215_L5_DBC_08b1fddce5_0_0
