Cell_ID,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,SteadyStateAPs,FrequencyPassAbove,FrequencyPassBelow,RampFirstSpike
NMLCL000355,62.926862223815,62.1366100000912,0.7902522237237329,-1.25582651954424,1.97610230255369,0.55,0.55,2.01858731750028e-14,3.1700000000000697,3.18000000000006,-26.7816901098142,-26.5560628926749,-0.8424681796188199,21.9710954242979,22.3116699986166,1.55010284076223,42.1000000000001,90.6099999999999,0.0,0.0,12.350000000000101,30.6400000000003,0.0,0.0,50.925,19.084999999999894,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0580821281291746,-56.8167453427262,222.12197513176895,98.69000000000021,5.411581994991058,9.956709956710787,23.5,460.546227777199,0,29.0,143.0,2051.26
NMLCL000356,62.2400746682673,62.14850600113361,0.0915686671336786,-0.14712171799556698,1.6674689548432202,0.74,0.75,1.35135135135135,4.53999999999996,4.58999999999992,-17.3705818554551,-17.1727885836745,-1.1386680850792,16.6223669554984,16.674593597931,0.314194979405895,39.3699999999999,89.95,0.0,0.0,14.0,35.45,0.0,0.0,53.260000000000105,22.23,0.0,0.0,-40.0,-20.0,-0.0479110770410119,-64.9697797474471,203.20468488024503,119.185,4.60482093643255,10.5970739422694,18.0,710.248351686734,0,29.0,143.0,2060.0
NMLCL000357,65.4424591136209,65.7058613374543,-0.263402223833381,0.402494385756598,1.53529975072525,0.65,0.65,-1.7080354225002398e-14,2.43000000000006,2.4400000000000497,-31.051274247800606,-30.9017427234798,-0.481563246414626,10.0121373085367,9.6943909078382,-3.17361209606611,57.51,104.3,0.0,0.0,19.5800000000002,36.1800000000001,0.0,0.0,49.275,17.4299999999999,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0667775173454601,-65.4939088040334,219.194192089137,112.26,4.50472496220986,10.6219277623424,19.5,797.767431365508,0,29.0,143.0,2075.06
NMLCL000358,65.1311066681795,65.01442266360691,0.116684004572633,-0.17915249800237198,1.90123712831609,0.66,0.65,-1.51515151515152,2.6400000000001,2.69000000000005,-27.9179797983115,-27.391258249590006,-1.88667501204144,8.57235999936571,8.66806202779173,1.11640234933087,57.7700000000002,104.5,0.0,0.0,19.8200000000002,36.46000000000029,0.0,0.0,49.184999999999896,17.4699999999999,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0668578802040502,-65.52794186453809,218.83299540728402,112.09,4.50004426769731,10.5071688422862,19.5,802.823877421416,0,29.0,143.0,2076.36
NMLCL000359,65.44421333136371,65.3702080037323,0.0740053276314114,-0.113081545127146,1.8326778567271496,0.65,0.64,-1.53846153846156,2.38000000000011,2.41000000000008,-31.2939868458058,-30.863443334938307,-1.37580268371969,9.0354753616574,9.01069043347145,-0.274306853750362,59.190000000000104,105.65,0.0,0.0,20.250000000000107,36.5500000000002,0.0,0.0,48.92,17.1399999999999,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0669693682109803,-65.6926226011098,219.319069912945,111.92,4.48017254062172,10.5897546276363,19.5,782.394381211254,0,29.0,143.0,2077.13
NMLCL000360,65.5713986687597,65.4003599970857,0.171038671673998,-0.26084340908757503,1.82615270560219,0.64,0.65,1.56250000000002,2.51999999999998,2.5599999999999503,-29.556533863010607,-29.0092361762233,-1.85169779827345,8.9110666660265,8.86328461404437,-0.5362102402880851,57.73,104.82,0.0,0.0,19.79,36.54,0.0,0.0,49.53,17.58,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0668780011503016,-65.1020581980847,220.681073818573,111.9,4.52944723560049,10.363134423444698,19.5,806.869092190752,0,29.0,143.0,2076.58
NMLCL000361,65.6639573334282,65.5340600002032,0.12989733322496,-0.19782135969260606,1.84672211184337,0.65,0.65,0.0,2.6099999999999,2.6500000000000896,-28.8351443894942,-28.3517811316785,-1.67629907201628,9.59576952314878,9.59815999874751,0.0249117654707777,56.29,103.42,0.0,0.0,19.230000000000103,36.1300000000001,0.0,0.0,49.595,17.72,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.0667147012515678,-65.2227569754854,219.517756648118,112.33,4.52966612997201,10.4604286017395,19.5,811.117096394221,0,29.0,143.0,2073.97
NMLCL000362,57.199498000787706,57.0830426672001,0.116455333587666,-0.203595027330594,2.40872525995147,0.85,0.85,0.0,5.33999999999992,5.490000000000008,-13.3519198790366,-12.983735761846699,-2.7575368975057595,14.099754153266304,14.197666665338499,0.694427087223126,35.74,79.2000000000003,0.0,0.0,12.6599999999999,31.55,0.0,0.0,45.559999999999896,19.5100000000001,0.0,0.0,-50.0,-33.3333333333333,-0.0720611655172911,-67.4557204600528,187.063223019457,106.44,4.51391919604506,9.66405890473847,24.0,360.092317971718,0,29.0,143.0,2068.75
NMLCL000363,52.6847600002034,56.081962680529394,-3.3972026803259903,6.448169604099691,52.6847600002034,0.95,0.81,-14.7368421052632,3.35000000000002,3.18000000000006,-17.2906355495249,-19.931843610133,15.2753671375642,5.23886909070521,7.301299999694638,39.367864958652895,12.1,23.0700000000002,0.0,0.0,4.42999999999995,13.87,0.0,0.0,11.8849999999999,9.47500000000002,0.0,0.0,-100.0,-100.0,-1.0,-81.9883965039137,291.86648401713296,14.2399999999999,5.25587701063196,16.6818596171337,91.0,344.9620257848989,0,29.0,123.51868510488801,2808.47
NMLCL000364,56.808316000438396,56.1561028679109,0.6522131325274361,-1.1480944665256498,3.2960223696667703,0.8,0.81,1.25,3.26999999999998,3.33999999999992,-18.983478342997106,-18.404974365913,-3.04740768067656,5.26765818116184,5.3165115142371295,0.92742033357445,44.23,62.78,0.0,0.0,14.929999999999799,24.5800000000002,0.0,0.0,20.52,9.9000000000002,0.0,0.0,-42.8571428571429,-42.8571428571429,-0.116904372223521,-89.9926480753375,122.035760465861,97.31999999999992,3.2810314370865696,21.239892183288802,43.0,374.576353291361,0,29.0,101.17423984999901,2061.71
